x,y,z,distance
-167.56651306152344,-18.681272506713867,-148.3636474609375,2857.07958984375
-165.2890625,-19.08176612854004,-144.56192016601562,2861.44775390625
-162.8008575439453,-19.519031524658203,-140.39942932128906,2866.27001953125
-160.08021545410156,-19.992935180664062,-135.880859375,2871.56396484375
-157.5489501953125,-20.436687469482422,-131.67422485351562,2876.4912109375
-154.8455810546875,-20.90983772277832,-127.1676254272461,2881.765625
-152.52415466308594,-21.312992095947266,-123.27978515625,2886.31005859375
-149.82623291015625,-21.779579162597656,-118.74095916748047,2891.60986328125
-147.3089141845703,-22.209421157836914,-114.4931411743164,2896.5654296875
-144.80276489257812,-22.627830505371094,-110.26630401611328,2901.49755859375
-142.1350860595703,-23.061511993408203,-105.78751373291016,2906.7294921875
-139.8386993408203,-23.422208786010742,-101.94178009033203,2911.22509765625
-137.18637084960938,-23.82709312438965,-97.51768493652344,2916.40185546875
-134.91372680664062,-24.17029571533203,-93.73875427246094,2920.82470703125
-132.2407684326172,-24.560630798339844,-89.28185272216797,2926.03466796875
-129.96681213378906,-24.887975692749023,-85.47998809814453,2930.47607421875
-127.37979125976562,-25.257152557373047,-81.11083221435547,2935.56591796875
-124.99427795410156,-25.609539031982422,-77.04629516601562,2940.29052734375
-122.62113189697266,-25.929288864135742,-72.97624969482422,2945.01318359375
-120.2447738647461,-26.213924407958984,-68.92747497558594,2949.7197265625
-117.65143585205078,-26.504154205322266,-64.5411605834961,2954.82763671875
-115.24828338623047,-26.757938385009766,-60.50429153442383,2959.53759765625
-112.8414077758789,-27.00251007080078,-56.49048614501953,2964.2294921875
-110.38738250732422,-27.2432804107666,-52.45970153808594,2968.9599609375
-107.89155578613281,-27.46933937072754,-48.40088653564453,2973.5595703125
-105.213134765625,-27.707298278808594,-44.07921600341797,2978.3935546875
-102.73069763183594,-27.912418365478516,-40.05681610107422,2982.87109375
-100.0187759399414,-28.10857391357422,-35.75045394897461,2987.67919921875
-97.38599395751953,-28.281238555908203,-31.848682403564453,2992.12939453125
-94.59855651855469,-28.44144630432129,-28.163433074951172,2996.52197265625
-91.56995391845703,-28.597997665405273,-24.807355880737305,3000.83447265625
-88.31507873535156,-28.74476432800293,-21.811357498168945,3004.28564453125
-84.98268127441406,-28.882488250732422,-19.035181045532227,3007.86376953125
-81.0473861694336,-29.0225772857666,-16.014623641967773,3012.10009765625
-77.79656982421875,-29.1258544921875,-13.778958320617676,3015.6474609375
-73.94573211669922,-29.246753692626953,-11.393269538879395,3019.998046875
-70.34536743164062,-29.348665237426758,-9.376569747924805,3024.92431640625
-66.71157836914062,-29.448047637939453,-7.5275492668151855,3028.70263671875
-62.9589729309082,-29.541797637939453,-5.84238862991333,3032.55908203125
-59.16960525512695,-29.620771408081055,-4.389485836029053,3036.267578125
-55.346923828125,-29.689693450927734,-3.1429073810577393,3039.84716796875
-51.46678924560547,-29.748258590698242,-2.078249931335449,3043.49072265625
-47.5825080871582,-29.798995971679688,-1.2135182619094849,3047.1455078125
-43.43128967285156,-29.845853805541992,-0.5008792281150818,3051.05615234375
-39.25567626953125,-29.894166946411133,0.014497902244329453,3054.9794921875
-35.32838439941406,-29.93148422241211,0.32749080657958984,3058.63916015625
-31.393342971801758,-29.960716247558594,0.47173523902893066,3062.32373046875
-27.45281410217285,-29.97998809814453,0.44278183579444885,3065.96435546875
-23.469228744506836,-29.99074363708496,0.24080488085746765,3069.73388671875
-19.43633460998535,-29.995145797729492,-0.13033388555049896,3073.42724609375
-15.354484558105469,-29.977489471435547,-0.6773667335510254,3077.16552734375
-10.557358741760254,-29.948362350463867,-1.5589616298675537,3081.58740234375
-6.659376621246338,-29.914213180541992,-2.493544578552246,3085.17822265625
-2.3834593296051025,-29.871152877807617,-3.7434113025665283,3089.33056640625
1.9153233766555786,-29.829660415649414,-5.264834403991699,3093.66748046875
6.126896858215332,-29.784168243408203,-7.04063081741333,3097.89501953125
10.522652626037598,-29.726001739501953,-9.215095520019531,3102.35791015625
14.384498596191406,-29.654613494873047,-11.437384605407715,3106.37353515625
18.058452606201172,-29.580825805664062,-13.85167121887207,3110.32373046875
21.893442153930664,-29.50730323791504,-16.70775032043457,3114.54736328125
25.31577491760254,-29.443273544311523,-19.54505157470703,3118.69091796875
28.59998893737793,-29.370634078979492,-22.551509857177734,3122.89013671875
31.77622413635254,-29.286727905273438,-25.75434684753418,3127.23779296875
34.79693603515625,-29.19601058959961,-29.123489379882812,3131.47314453125
37.671142578125,-29.107620239257812,-32.67042541503906,3135.56787109375
40.4628791809082,-29.024160385131836,-36.44475173950195,3139.94482421875
43.669464111328125,-28.91360092163086,-41.10407638549805,3145.25634765625
46.28103256225586,-28.821090698242188,-44.9713249206543,3149.85205078125
49.1859016418457,-28.71971893310547,-49.15744400024414,3155.16943359375
52.2088737487793,-28.62213706970215,-53.19336700439453,3160.41943359375
55.368919372558594,-28.525074005126953,-57.033504486083984,3165.5927734375
58.660728454589844,-28.42621421813965,-60.76483917236328,3170.77490234375
62.35142517089844,-28.315166473388672,-64.64872741699219,3176.37255859375
66.17950439453125,-28.197391510009766,-68.50518035888672,3182.06201171875
69.85858154296875,-28.094167709350586,-72.0621109008789,3187.40576171875
73.59796905517578,-28.002010345458984,-75.5218276977539,3192.71826171875
